Count,Date,Stage,ResultNote,Home,Score,Away,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes,MatchNotes
10 === ,16 June 2000 ,Group D   ,Full time »,Czech Republic,1-2,France,Referee: Graham Poll (ENG)   – Stadium: Jan Breydelstadion, Bruges (BEL) ,,,,,,,,,,,,,,,
10 === ,16 June 2000 ,Group D   ,Full time »,Denmark,0-3,Netherlands,Referee: Urs Meier (SUI)   – Stadium: Feijenoord Stadion, Rotterdam (NED) ,,,,,,,,,,,,,,,
10 === ,15 June 2000 ,Group B   ,Full time »,Sweden,0-0,Turkey,Referee: Dick Z.G. Jol (NED)   – Stadium: PSV Stadion, Eindhoven (NED) ,,,,,,,,,,,,,,,
16 === ,14 June 2000 ,Group B   ,Full time »,Italy,2-0,Belgium,Referee,not available, ,Stadium,:,King Baudouin Stadium, ,Brussels (BEL) ,,,,,,,,,
16 === ,13 June 2000 ,Group C   ,Full time »,Spain,0-1,Norway,Referee,not available, ,Stadium,:,Feijenoord Stadion, ,Rotterdam (NED) ,,,,,,,,,
16 === ,13 June 2000 ,Group C   ,Full time »,Yugoslavia,3-3,Slovenia,Referee,not available, ,Stadium,:,Pays de Charleroi, ,Charleroi (BEL) ,,,,,,,,,
10 === ,12 June 2000 ,Group A   ,Full time »,Germany,1-1,Romania,Referee: Kim Milton Nielsen (DEN)   – Stadium: Stade Maurice Dufrasne, Liege (BEL) ,,,,,,,,,,,,,,,
10 === ,12 June 2000 ,Group A   ,Full time »,Portugal,3-2,England,Referee: Anders Frisk (SWE)   – Stadium: PSV Stadion, Eindhoven (NED) ,,,,,,,,,,,,,,,
10 === ,11 June 2000 ,Group B   ,Full time »,Turkey,1-2,Italy,Referee: Hugh Dallas (SCO)   – Stadium: Gelredome, Arnhem (NED) ,,,,,,,,,,,,,,,
10 === ,11 June 2000 ,Group D   ,Full time »,France,3-0,Denmark,Referee: Günter Benkö (AUT)   – Stadium: Jan Breydelstadion, Bruges (BEL) ,,,,,,,,,,,,,,,
10 === ,11 June 2000 ,Group D   ,Full time »,Netherlands,1-0,Czech Republic,Referee: Pierluigi Collina (ITA)   – Stadium: Amsterdam ArenA, Amsterdam (NED) ,,,,,,,,,,,,,,,
16 === ,10 June 2000 ,Group B   ,Full time »,Belgium,2-1,Sweden,Referee,not available, ,Stadium,:,King Baudouin Stadium, ,Brussels (BEL) ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 === ,4 July 2004 ,Final,Full time »,Portugal,0-1,Greece,Referee: Markus Merk (GER)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
11 === ,1 July 2004 ,Semi-finals,Full time »,Greece,1-0,Czech Republic,Greece win on silver goal , ,Referee: Pierluigi Collina (ITA)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,
9 === ,30 June 2004 ,Semi-finals,Full time »,Portugal,2-1,Netherlands,Referee: Anders Frisk (SWE)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
9 === ,27 June 2004 ,Quarter-finals,Full time »,Czech Republic,3-0,Denmark,Referee: Valentin Ivanov (RUS)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,,,
20 === ,26 June 2004 ,Quarter-finals,Full time »,Sweden,0-0,Netherlands,Netherlands win  5-4  on penalties, ,(,4-5p,) ,Referee,not available, ,Stadium,:,Estádio Algarve, ,Faro-Loule (POR) ,,,,
19 === ,26 June 2004 ,Quarter-finals,Full time »,Sweden,0-0,Netherlands,Netherlands win  5-4  on penalties, ,(,4-5p,) ,Referee,Ľuboš Michel (SVK)  ,Stadium,:,Estádio Algarve, ,Faro-Loule (POR) ,,,,,
9 === ,25 June 2004 ,Quarter-finals,Full time »,France,0-1,Greece,Referee: Anders Frisk (SWE)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
11 === ,24 June 2004 ,Quarter-finals,Full time »,Portugal,2-2,England,Portugal win  6-5  on penalties, ,Referee: Urs Meier (SUI)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,
10 === ,23 June 2004 ,Group D   ,Full time »,Netherlands,3-0,Latvia,Referee: Kim Milton Nielsen (DEN)   – Stadium: Estádio Municipal de Braga, Braga (POR) ,,,,,,,,,,,,,,,
10 === ,23 June 2004 ,Group D   ,Full time »,Germany,1-2,Czech Republic,Referee: Terje Hauge (NOR)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,22 June 2004 ,Group C   ,Full time »,Italy,2-1,Bulgaria,Referee: Valentin Ivanov (RUS)   – Stadium: Estádio D. Afonso Henriques, Guimaraes (POR) ,,,,,,,,,,,,,,,
10 === ,22 June 2004 ,Group C   ,Full time »,Denmark,2-2,Sweden,Referee: Markus Merk (GER)   – Stadium: Bessa XXI, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,21 June 2004 ,Group B   ,Full time »,Switzerland,1-3,France,Referee: Ľuboš Michel (SVK)   – Stadium: Cidade de Coimbra, Coimbra (POR) ,,,,,,,,,,,,,,,
10 === ,21 June 2004 ,Group B   ,Full time »,Croatia,2-4,England,Referee: Pierluigi Collina (ITA)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,20 June 2004 ,Group A   ,Full time »,Spain,0-1,Portugal,Referee: Anders Frisk (SWE)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,20 June 2004 ,Group A   ,Full time »,Russia,2-1,Greece,Referee: Gilles Veissiere (FRA)   – Stadium: Estádio Algarve, Faro-Loule (POR) ,,,,,,,,,,,,,,,
10 === ,19 June 2004 ,Group D   ,Full time »,Latvia,0-0,Germany,Referee: Mike Riley (ENG)   – Stadium: Bessa XXI, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,19 June 2004 ,Group D   ,Full time »,Netherlands,2-3,Czech Republic,Referee: Manuel Mejuto González (ESP)   – Stadium: Municipal, Aveiro (POR) ,,,,,,,,,,,,,,,
10 === ,18 June 2004 ,Group C   ,Full time »,Bulgaria,0-2,Denmark,Referee: Lucilio Cardoso Cortez Batista (POR)   – Stadium: Estádio Municipal de Braga, Braga (POR) ,,,,,,,,,,,,,,,
10 === ,18 June 2004 ,Group C   ,Full time »,Italy,1-1,Sweden,Referee: Urs Meier (SUI)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,17 June 2004 ,Group B   ,Full time »,England,3-0,Switzerland,Referee: Valentin Ivanov (RUS)   – Stadium: Cidade de Coimbra, Coimbra (POR) ,,,,,,,,,,,,,,,
10 === ,17 June 2004 ,Group B   ,Full time »,Croatia,2-2,France,Referee: Kim Milton Nielsen (DEN)   – Stadium: Dr. Magalhães Pessoa, Leiria (POR) ,,,,,,,,,,,,,,,
10 === ,16 June 2004 ,Group A   ,Full time »,Greece,1-1,Spain,Referee: Ľuboš Michel (SVK)   – Stadium: Bessa XXI, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,16 June 2004 ,Group A   ,Full time »,Russia,0-2,Portugal,Referee: Terje Hauge (NOR)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,15 June 2004 ,Group D   ,Full time »,Czech Republic,2-1,Latvia,Referee: Gilles Veissiere (FRA)   – Stadium: Municipal, Aveiro (POR) ,,,,,,,,,,,,,,,
10 === ,15 June 2004 ,Group D   ,Full time »,Germany,1-1,Netherlands,Referee: Anders Frisk (SWE)   – Stadium: Estádio do Dragão, Porto (POR) ,,,,,,,,,,,,,,,
10 === ,14 June 2004 ,Group C   ,Full time »,Denmark,0-0,Italy,Referee: Manuel Mejuto González (ESP)   – Stadium: Estádio D. Afonso Henriques, Guimaraes (POR) ,,,,,,,,,,,,,,,
10 === ,14 June 2004 ,Group C   ,Full time »,Sweden,5-0,Bulgaria,Referee: Mike Riley (ENG)   – Stadium: José Alvalade, Lisbon (POR) ,,,,,,,,,,,,,,,
10 === ,13 June 2004 ,Group B   ,Full time »,Switzerland,0-0,Croatia,Referee: Lucilio Cardoso Cortez Batista (POR)   – Stadium: Dr. Magalhães Pessoa, Leiria (POR) ,,,,,,,,,,,,,,,
10 === ,13 June 2004 ,Group B   ,Full time »,France,2-1,England,Referee: Markus Merk (GER)   – Stadium: Estádio do Sport Lisboa e Benfica, Lisbon (POR) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
9 === ,29 June 2008 ,Final,Full time »,Germany,0-1,Spain,Referee: Roberto Rosetti (ITA)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,26 June 2008 ,Semi-finals,Full time »,Russia,0-3,Spain,Referee: Frank De Bleeckere (BEL)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,25 June 2008 ,Semi-finals,Full time »,Germany,3-2,Turkey,Referee: Massimo Busacca (SUI)   – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,,,
11 === ,22 June 2008 ,Quarter-finals,Full time »,Spain,0-0,Italy,Spain win  4-2  on penalties, ,Referee: Herbert Fandel (GER)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,
11 === ,21 June 2008 ,Quarter-finals,Full time »,Netherlands,1-3,Russia,Russia win after extra time , ,Referee: Ľuboš Michel (SVK)   – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,
11 === ,20 June 2008 ,Quarter-finals,Full time »,Croatia,1-1,Turkey,Turkey win  3-1  on penalties, ,Referee: Roberto Rosetti (ITA)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,
9 === ,19 June 2008 ,Quarter-finals,Full time »,Portugal,2-3,Germany,Referee: Peter Fröjdfeldt (SWE)   – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,,,
9 === ,18 June 2008 ,Final tournament - Group stage,Full time »,Greece,1-2,Spain,Referee: Howard Webb (ENG)   – Stadium: Stadion Salzburg, Salzburg (AUT) ,,,,,,,,,,,,,,,
9 === ,18 June 2008 ,Final tournament - Group stage,Full time »,Russia,2-0,Sweden,Referee: Frank De Bleeckere (BEL)   – Stadium: Tivoli Neu, Innsbruck (AUT) ,,,,,,,,,,,,,,,
9 === ,17 June 2008 ,Final tournament - Group stage,Full time »,Netherlands,2-0,Romania,Referee: Massimo Busacca (SUI)   – Stadium: Stade de Suisse, Berne (SUI) ,,,,,,,,,,,,,,,
9 === ,17 June 2008 ,Final tournament - Group stage,Full time »,France,0-2,Italy,Referee: Ľuboš Michel (SVK)   – Stadium: Stadion Letzigrund, Zurich (SUI) ,,,,,,,,,,,,,,,
9 === ,16 June 2008 ,Final tournament - Group stage,Full time »,Austria,0-1,Germany,Referee: Manuel Mejuto González (ESP)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,16 June 2008 ,Final tournament - Group stage,Full time »,Poland,0-1,Croatia,Referee: Kyros Vassaras (GRE)   – Stadium: Wörthersee, Klagenfurt (AUT) ,,,,,,,,,,,,,,,
11 === ,15 June 2008 ,Final tournament - Group stage,Full time »,Switzerland,2-0,Portugal,Referee: ,not available,  – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,
9 === ,15 June 2008 ,Final tournament - Group stage,Full time »,Turkey,3-2,Czech Republic,Referee: Peter Fröjdfeldt (SWE)   – Stadium: Stade de Genève, Geneva (SUI) ,,,,,,,,,,,,,,,
9 === ,14 June 2008 ,Final tournament - Group stage,Full time »,Sweden,1-2,Spain,Referee: Pieter Vink (NED)   – Stadium: Tivoli Neu, Innsbruck (AUT) ,,,,,,,,,,,,,,,
9 === ,14 June 2008 ,Final tournament - Group stage,Full time »,Greece,0-1,Russia,Referee: Roberto Rosetti (ITA)   – Stadium: Stadion Salzburg, Salzburg (AUT) ,,,,,,,,,,,,,,,
9 === ,13 June 2008 ,Final tournament - Group stage,Full time »,Italy,1-1,Romania,Referee: Tom Henning Øvrebø (NOR)   – Stadium: Stadion Letzigrund, Zurich (SUI) ,,,,,,,,,,,,,,,
9 === ,13 June 2008 ,Final tournament - Group stage,Full time »,Netherlands,4-1,France,Referee: Herbert Fandel (GER)   – Stadium: Stade de Suisse, Berne (SUI) ,,,,,,,,,,,,,,,
9 === ,12 June 2008 ,Final tournament - Group stage,Full time »,Croatia,2-1,Germany,Referee: Frank De Bleeckere (BEL)   – Stadium: Wörthersee, Klagenfurt (AUT) ,,,,,,,,,,,,,,,
9 === ,12 June 2008 ,Final tournament - Group stage,Full time »,Austria,1-1,Poland,Referee: Howard Webb (ENG)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,11 June 2008 ,Final tournament - Group stage,Full time »,Czech Republic,1-3,Portugal,Referee: Kyros Vassaras (GRE)   – Stadium: Stade de Genève, Geneva (SUI) ,,,,,,,,,,,,,,,
11 === ,11 June 2008 ,Final tournament - Group stage,Full time »,Switzerland,1-2,Turkey,Referee: ,not available,  – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,
9 === ,10 June 2008 ,Final tournament - Group stage,Full time »,Spain,4-1,Russia,Referee: Konrad Plautz (AUT)   – Stadium: Tivoli Neu, Innsbruck (AUT) ,,,,,,,,,,,,,,,
9 === ,10 June 2008 ,Final tournament - Group stage,Full time »,Greece,0-2,Sweden,Referee: Massimo Busacca (SUI)   – Stadium: Stadion Salzburg, Salzburg (AUT) ,,,,,,,,,,,,,,,
9 === ,9 June 2008 ,Final tournament - Group stage,Full time »,Romania,0-0,France,Referee: Manuel Mejuto González (ESP)   – Stadium: Stadion Letzigrund, Zurich (SUI) ,,,,,,,,,,,,,,,
9 === ,9 June 2008 ,Final tournament - Group stage,Full time »,Netherlands,3-0,Italy,Referee: Peter Fröjdfeldt (SWE)   – Stadium: Stade de Suisse, Berne (SUI) ,,,,,,,,,,,,,,,
9 === ,8 June 2008 ,Final tournament - Group stage,Full time »,Austria,0-1,Croatia,Referee: Pieter Vink (NED)   – Stadium: Ernst-Happel-Stadion, Vienna (AUT) ,,,,,,,,,,,,,,,
9 === ,8 June 2008 ,Final tournament - Group stage,Full time »,Germany,2-0,Poland,Referee: Tom Henning Øvrebø (NOR)   – Stadium: Wörthersee, Klagenfurt (AUT) ,,,,,,,,,,,,,,,
11 === ,7 June 2008 ,Final tournament - Group stage,Full time »,Switzerland,0-1,Czech Republic,Referee: ,not available,  – Stadium: St. Jakob-Park, Basel (SUI) ,,,,,,,,,,,,,
9 === ,7 June 2008 ,Final tournament - Group stage,Full time »,Portugal,2-0,Turkey,Referee: Herbert Fandel (GER)   – Stadium: Stade de Genève, Geneva (SUI) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
11 === ,1 July 2012 ,Final,Full time »,Spain,4-0,Italy,Referee: ,not available,  – Stadium: NSK Olimpiyskyi, Kyiv (UKR) ,,,,,,,,,,,,,
9 === ,28 June 2012 ,Semi-finals,Full time »,Germany,1-2,Italy,Referee: Stéphane Lannoy (FRA)   – Stadium: Stadion Narodowy, Warsaw (POL) ,,,,,,,,,,,,,,,
11 === ,27 June 2012 ,Semi-finals,Full time »,Portugal,0-0,Spain,Spain win  4-2  on penalties, ,Referee: Cüneyt Çakır (TUR)   – Stadium: Donbass Arena, Donetsk (UKR) ,,,,,,,,,,,,,
11 === ,24 June 2012 ,Quarter-finals,Full time »,England,0-0,Italy,Italy win  4-2  on penalties, ,Referee: Pedro Proença (POR)   – Stadium: NSK Olimpiyskyi, Kyiv (UKR) ,,,,,,,,,,,,,
9 === ,23 June 2012 ,Quarter-finals,Full time »,Spain,2-0,France,Referee: Nicola Rizzoli (ITA)   – Stadium: Donbass Arena, Donetsk (UKR) ,,,,,,,,,,,,,,,
9 === ,22 June 2012 ,Quarter-finals,Full time »,Germany,4-2,Greece,Referee: Damir Skomina (SVN)   – Stadium: Arena Gdansk, Gdansk (POL) ,,,,,,,,,,,,,,,
9 === ,21 June 2012 ,Quarter-finals,Full time »,Czech Republic,0-1,Portugal,Referee: Howard Webb (ENG)   – Stadium: Stadion Narodowy, Warsaw (POL) ,,,,,,,,,,,,,,,
10 === ,19 June 2012 ,Group D,Full time »,Sweden,2-0,France,Referee: Pedro Proença (POR)   – Stadium: NSK Olimpiyskyi, Kyiv (UKR) ,,,,,,,,,,,,,,,
10 === ,19 June 2012 ,Group D,Full time »,England,1-0,Ukraine,Referee: Viktor Kassai (HUN)   – Stadium: Donbass Arena, Donetsk (UKR) ,,,,,,,,,,,,,,,
10 === ,18 June 2012 ,Group C,Full time »,Croatia,0-1,Spain,Referee: Wolfgang Stark (GER)   – Stadium: Arena Gdansk, Gdansk (POL) ,,,,,,,,,,,,,,,
10 === ,18 June 2012 ,Group C,Full time »,Italy,2-0,Republic of Ireland,Referee: Cüneyt Çakır (TUR)   – Stadium: Municipal Stadium Poznan, Poznan (POL) ,,,,,,,,,,,,,,,
16 === ,17 June 2012 ,Group B,Full time »,Portugal,2-1,Netherlands,Referee,not available, ,Stadium,:,Metalist Stadium, ,Kharkiv (UKR) ,,,,,,,,,
15 === ,17 June 2012 ,Group B,Full time »,Denmark,1-2,Germany,Referee,Carlos Velasco Carballo (ESP)  ,Stadium,:,Arena Lviv, ,Lviv (UKR) ,,,,,,,,,,
10 === ,16 June 2012 ,Group A,Full time »,Greece,1-0,Russia,Referee: Jonas Eriksson (SWE)   – Stadium: Stadion Narodowy, Warsaw (POL) ,,,,,,,,,,,,,,,
10 === ,16 June 2012 ,Group A,Full time »,Czech Republic,1-0,Poland,Referee: Craig Thomson (SCO)   – Stadium: Municipal Stadium Wroclaw, Wroclaw (POL) ,,,,,,,,,,,,,,,
10 === ,15 June 2012 ,Group D,Full time »,Ukraine,0-2,France,Referee: Björn Kuipers (NED)   – Stadium: Donbass Arena, Donetsk (UKR) ,,,,,,,,,,,,,,,
10 === ,15 June 2012 ,Group D,Full time »,Sweden,2-3,England,Referee: Damir Skomina (SVN)   – Stadium: NSK Olimpiyskyi, Kyiv (UKR) ,,,,,,,,,,,,,,,
10 === ,14 June 2012 ,Group C,Full time »,Italy,1-1,Croatia,Referee: Howard Webb (ENG)   – Stadium: Municipal Stadium Poznan, Poznan (POL) ,,,,,,,,,,,,,,,
10 === ,14 June 2012 ,Group C,Full time »,Spain,4-0,Republic of Ireland,Referee: Pedro Proença (POR)   – Stadium: Arena Gdansk, Gdansk (POL) ,,,,,,,,,,,,,,,
10 === ,13 June 2012 ,Group B,Full time »,Denmark,2-3,Portugal,Referee: Craig Thomson (SCO)   – Stadium: Arena Lviv, Lviv (UKR) ,,,,,,,,,,,,,,,
10 === ,13 June 2012 ,Group B,Full time »,Netherlands,1-2,Germany,Referee: Jonas Eriksson (SWE)   – Stadium: Metalist Stadium, Kharkiv (UKR) ,,,,,,,,,,,,,,,
10 === ,12 June 2012 ,Group A,Full time »,Greece,1-2,Czech Republic,Referee: Stéphane Lannoy (FRA)   – Stadium: Municipal Stadium Wroclaw, Wroclaw (POL) ,,,,,,,,,,,,,,,
10 === ,12 June 2012 ,Group A,Full time »,Poland,1-1,Russia,Referee: Wolfgang Stark (GER)   – Stadium: Stadion Narodowy, Warsaw (POL) ,,,,,,,,,,,,,,,
10 === ,11 June 2012 ,Group D,Full time »,France,1-1,England,Referee: Nicola Rizzoli (ITA)   – Stadium: Donbass Arena, Donetsk (UKR) ,,,,,,,,,,,,,,,
10 === ,11 June 2012 ,Group D,Full time »,Ukraine,2-1,Sweden,Referee: Cüneyt Çakır (TUR)   – Stadium: NSK Olimpiyskyi, Kyiv (UKR) ,,,,,,,,,,,,,,,
10 === ,10 June 2012 ,Group C,Full time »,Spain,1-1,Italy,Referee: Viktor Kassai (HUN)   – Stadium: Arena Gdansk, Gdansk (POL) ,,,,,,,,,,,,,,,
10 === ,10 June 2012 ,Group C,Full time »,Republic of Ireland,1-3,Croatia,Referee: Björn Kuipers (NED)   – Stadium: Municipal Stadium Poznan, Poznan (POL) ,,,,,,,,,,,,,,,
10 === ,9 June 2012 ,Group B,Full time »,Netherlands,0-1,Denmark,Referee: Damir Skomina (SVN)   – Stadium: Metalist Stadium, Kharkiv (UKR) ,,,,,,,,,,,,,,,
10 === ,9 June 2012 ,Group B,Full time »,Germany,1-0,Portugal,Referee: Stéphane Lannoy (FRA)   – Stadium: Arena Lviv, Lviv (UKR) ,,,,,,,,,,,,,,,
10 === ,8 June 2012 ,Group A,Full time »,Poland,1-1,Greece,Referee: Carlos Velasco Carballo (ESP)   – Stadium: Stadion Narodowy, Warsaw (POL) ,,,,,,,,,,,,,,,
10 === ,8 June 2012 ,Group A,Full time »,Russia,4-1,Czech Republic,Referee: Howard Webb (ENG)   – Stadium: Municipal Stadium Wroclaw, Wroclaw (POL) ,,,,,,,,,,,,,,,
